positive,#RIL's focus is on rooftop #solar and decentralised solar installations in villages. This is a refreshing course considering that rural energy has often been overlooked in its potential for capacity generation in the past.  https://t.co/ELhjCLJlCF via @TFinMedia #GreenEnergy
negative,2 types of green energy projects growing in 2021: Wind and solar energy tech can help the planet https://t.co/O9FDxpdC3M
positive,"India`s top 2 richest men off in green energy
https://t.co/KCTl1HU2Od https://t.co/NuuUAnVtOB"
negative,"Must be replicated at all railway stations #solarenergy #sustainableenergy #solarpower #solarpanels for green #energy
@AshwiniVaishnaw @RailMinIndia https://t.co/SF5stxDv7A"
negative,"@NPC_INDIA_GOV presents webinar on ""RESILENT GREEN ENERGY-EFICIENT TECHNOLOGIES FOR THE FUTURE: Sustainable Industry 4.0""
Date &amp; Time: 14-07-2021 (01:30 PM to 05:30 PM)
To Register: https://t.co/F4v25GQpfV
Fee: Rs 500/-
Contact: mk.anwar@npcindia.gov.in, 9472027551
#npcindia https://t.co/4GPLeZZwxR"
negative,#hydrogen #hydrogengentech #energy #green #environment #hydrogenenergymission #hydrogenenergy #fuel #india #fillingstation #greenenergy #naturalgas #industrialplant #oxidation #renewableenergy https://t.co/2hz8H98Kgy
negative,"@JQT_CoinLinked @DogecoinRise @Alik20830765 @elonmusk @jack will convince @elonmusk to accept #Bitcoin for Tesla as maximum mining using green energy .
#marketcap of crypto currency’s will rise to 3-4 trillion approx . Our #Doge will go to its #Ath . 😉"
negative,New avenue for green energy technology and sustainable environment. It can reduce our fossil fuel requirement in the future. https://t.co/PQa3yGM1NR
positive,"Prime Minister Imran Khan launched Pakistan’s first ever locally manufactured electric motorcycle on Thursday.

Addressing the ceremony in Islamabad, the premier hailed the electric motorcycle as a “futuristic step”.

#DailyScoopTV #EVs #Futuristic #Pakistan #GreenEnergy https://t.co/ymzZdibFBz"
positive,"Reon offers Asset Performance Management services to maximise the ROI on your solar assets through analytics based smart energy management.
#ReonEnergy #Reon #APM #AssetPerformanceManagement #GreenEnergy #GreenFuture #Think2025 #Sustainability #Pakistan #SolarPower #Industrial https://t.co/Rsw55iV3tb"
negative,"World #SmartGrid #News: Japan Pledges USD 10 Billion to Aid Asia’s Green #Energy Projects
Read Details at: https://t.co/gHZaaAkASo

Tags: @rejipillai | @suri_reena https://t.co/iLnWwaX5Fz"
neutral,"The Authorized Distributor For Supply of Luminous Solar Battery !!!

HYGRID SOLAR PVT. LTD.
ph: 011-47065545
mail: info@hygirdsolar.com
visit: https://t.co/MRe4jxSonc

#hygridsolar pvt. ltd. #luminous #luminoussolarbattery #luminousbattery #solarpower #solarbattery #greenenergy https://t.co/JIeliQWZ5U"
neutral,"#SGPC president @BibiJagirKaur and Nankana Sahib Education Trust, Ludhiana today inaugurated 500 KWp Solar Energy Plant at Guru Nanak Dev Engineering College, Ludhiana. 
#SolarEnergy #GreenEnergy #RenewableEnergy #SGPCUpdates https://t.co/QDETZnYIgw"
neutral,"#greenenergy 
#hydrogen 
@RESI_India @FCIndia_ https://t.co/o1lZGmto5V"
positive,"The #renewable #energy sector is being showcased as a #Magic bullet, where the loss of jobs in the coal sector would be offset by the #opportunities for jobs in green energy. https://t.co/x6J7dghvGL"
negative,Mukesh Ambani v. Gautam Adani: India’s behemoths face off in green energy race #ETIndustryNews https://t.co/h0NWWDOFFy
neutral,"#SGPC president @BibiJagirKaur and Nankana Sahib Education Trust, Ludhiana today inaugurated 500 KWp Solar Energy Plant at Guru Nanak Dev Engineering College, Ludhiana. 
#SolarEnergy #GreenEnergy #RenewableEnergy #SGPCUpdates"
negative,Wind and the sun power Greek islands' green energy switch - https://t.co/o4TyCsC5yK #GoogleAlerts #Renewablepowersystemsdelhi
positive,@hsaadat42 There are many options for clean and green energy.
negative,"@NPC_INDIA_GOV presents webinar on ""RESILENT GREEN ENERGY-EFICIENT TECHNOLOGIES FOR THE FUTURE: Sustainable Industry 4.0""
Date &amp; Time: 14-07-2021 (01:30 PM to 05:30 PM)
To Register: https://t.co/F4v25GQpfV
Fee: Rs 500/-
Contact: mk.anwar@npcindia.gov.in, 9472027551
#npcindia https://t.co/udFwhYXm1M"
positive,@OfficialTravlad It's an amazing tocken because green energy is the need of time and we need to green our cryptocurrencies to replace the banking systems. Its an amazing project seriously.
neutral,"#DidYouKnow
#renewable #sustainable #energy #renewableenergy #ecofriendly #sustainability #solar #climatechange #greenenergy #savetheplanet #gogreen #environment #sustainableliving #solar24news #solarpower #solarenergy #cleanenergy #renewables #energia #ecolife #recycle #earth https://t.co/3GVDhejdk4"
neutral,"WPP Energy believes that the following uses of the WPP TOKEN will not only make it the #1 Token in the Energy Marketplace, but it is destined to become one of the leading cryptocurrencies globally.
#wpp #greenenergy #wppenergy"
positive,"WPP ENERGY is a very promising and growth oriented project that has the capacity to lead the whole green energy industry. Hence investing at early stage can return big profit. https://t.co/ytbCGzN7dA

#wpp #greenenergy #wppenergy"
positive,"WPP is a native token of WPP Energy platform that has multiple use cases on and off the platform. It could be a very good consideration for investment purposes. https://t.co/ytbCGzN7dA

#wpp #greenenergy #wppenergy"
