negative,Must be replicated at all railway stations Airports Busterminus #solarenergy #solarpower #solarpanels for green #energy https://t.co/6pD8ERE1aD
positive,"National Solar Mission wants to achieve 100 GW which means 2 more Mumbais full of panels that could’ve otherwise been used for nature.  Instead 10xing our amazing nuclear capabilities with a fraction of land would enable cheap, plentiful, reliable and green energy."
positive,"Hey this is a price that needs to be paid for ‘clean and green’ energy.  But wait.. 

https://t.co/YjGcjPhmo3"
positive,"@elonmusk @WholeMarsBlog How much do you plan to turn into green energy by this year ?
5 GW 10 100  more ?"
negative,"@RajeshTatavarth Just wait for these in Godawari power over the next few months :-):

1. Super Q1 FY22 results in ~ 1 month
2. News of de-pledging of shares by August
3. div payout to keep growing inline with profit 
4. Sale of Green Energy
5. Bonus/stock split by Diwali

Did I miss anything?😊"
negative,"🚩#ข่าวประชาสัมพันธ์ : พลังงานสีเขียว! นวัตกรรมของ Capstone Green Energy เครื่องกำเนิดไฟฟ้ากังหันก๊าซ
เป็นผู้ผลิตชั้นนำของโลกในด้านระบบพลังงานไมโครเทอร์ไบน์ที่มีประสิทธิภาพสูง 
ติดต่อสอบถาม
สำนักงานใหญ่ : 02-168-3193-5 #109

https://t.co/xcBY2Pusbl
#PRnews #iCONSnews https://t.co/B9giPpg9Fa"
neutral,"#Wave #Energy Market: An emerging technologies in the #renewableenergy industry by Enpresearch 

https://t.co/Iyo5pSYfbl 
via @Medium 

#waveenergy #Waves #tidal #power #renewgeneration #renewables #renewable #RenewableElectricity #cleanenergy #greenenergy #energytwitter #Europe"
negative,@tomselliott One thing for sure about Joe Biden. He made bad decisions and the price of gasoline went up. He will make more bad decisions and the price will go even higher. Guaranteed. For Joe that’s the goal anyway. Make oil go higher so green energy is competitive.
neutral,"Environmental Technology Market Size to Reach $690.3 Billion by 2026 
https://t.co/oNjQP7lU6x 

#environmental #technology #environment #greentech #greenenergy #GreenHydrogen #energy #power #Geothermal #Utilities #wastewater #treatment #environnement #AsiaPacific https://t.co/ysqIMXay8O"
negative,"After telecom and app ecosystems, Reliance sets it's sights on green energy

@tsurendar writes on what went down within the company before the announcement and why RIL is gung-ho about renewables 

https://t.co/D5bC4qE7ud"
positive,"Enjoy a healthy menu cooked on clean fuels. Set up a green energy-based snack center at your office, factory, or residential area. Curious? write to us at info@orjabox.com #CleanCooking #Sustainability #climateaction https://t.co/Ab7gExa6tG"
negative,@Greentekio #Sustainability #sustainable #SustainableDevelopment #sustainableliving #sustainableenergy #ClimateCrisis #climate #ClimateAction #ClimateJustice #GreenEnergy #green
negative,"Aavalor Green Energy has developed a revolutionary prototype of graphene water purifier that provides 97% water purification. They are now working on the next generation graphene fuel cell.

Stay tuned for exciting updates from Aavalor Green Energy! #aavalorgreenenergy"
negative,@foodieboxgroup congratulates our Group CEO @jimmyleebg for his appointment as the Strategic Advisor and Investor in Aavalor Green Energy. The vision and purpose of Aavalor Green Energy is to be the market leader for affordable clean water and energy with nanotechnology https://t.co/TIeB103gbj
positive,"A very large quantity of available #biomass remains unutilized every year as the entire industry faces certain systemic challenges and opportunities. Visit our website https://t.co/YxldoreBMJ to know more about how we are addressing them.

#Biofuels #Sustainability #Greenenergy https://t.co/OiIcjipxIQ"
negative,"Since 2017, @UNCDF has disbursed a total of 18 loans and three guarantees (in financial inclusion, food security, and green energy) in 7 countries. 

This portfolio is proving that investments in these pre-frontier markets can be commercially viable.

 https://t.co/KP7BE8KiVm"
negative,@CNN Spending trillions of dollars for climate change in the form of green energy had long expired Mr.President. You Western Japan &amp; China had over crossed the limits of earth's capacity and time barred. Tell your citizens to live simple is only option left.
neutral,"#ecofriendly 
#pollution #automobile #greenenergy #ssc #mpsc #rrb #upsc #ElectricVehicle https://t.co/G5Ortr8YRH"
positive,"OCIM is part of the OCI Company of Korea. For more than 60 years beginning in 1959, OCI advances to become the 'Global Leader in Green Energy and Chemicals'.

#RECODA #SCORE #InvestSCORE #Investment #Sarawak #OCIM #OCI https://t.co/u8KgfdPqI8"
positive,"This smart solar panel follows the sun to absorb solar energy like a flower #solarenergy #solar #solarpower #renewableenergy #solarpanels #cleanenergy #greenenergy #tech #engineering @arjenvanberkum @mr_gadget @afigueiredo @HeinzVHoenen @Fabriziobustama
https://t.co/oRJAlnIy8H"
positive,"wpp energy is wonderful project with great team. I advise everyone to be part of this company, you will never regret for being a part of this project. #wpp #greenenergy #wppenergy"
positive,wpp-energy is a great project. I see the project has a great potential. The team is really engaged in the project with great efforts in its development. #wpp #greenenergy #wppenergy
neutral,#wpp #greenenergy #wppenergy https://t.co/8N7RYBii4u
neutral,#wpp #greenenergy #wppenergy https://t.co/tmo0YxvpGE
positive,"wpp energy is a very potential project with specific goals with it's unique idea, an experienced team of the project will certainly achieve its goals. #wpp #greenenergy #wppenergy"
positive,India's two richest men are vying to be at the forefront of Prime Minister Narendra Modi's ambition to ramp up green energy capacity in the world's second-most populous country more than four-fold to 450 gigawatts (GW) by 2030.
positive,"#wpp #greenenergy #wppenergy
is an outstanding project. This project is one of the best projects that I have done. This project is peak and running smoothly for long time"
neutral,"Mahindra &amp; Mahindra has signed a #power purchase agreement with ReNew Sunlight Energy, a subsidiary of ReNew Green Energy Solutions to procure #solar power from its #openaccess project as a captive consumer.

https://t.co/c0WDlcEKFJ

@MahindraRise @ReNew_Power"
negative,Green hydrogen: Future of energy in India; PHDCCI led summit to give insight into green energy https://t.co/X2z5v04aJr @Pres_PHDCCI @PMOIndia @GreenHydrogenIN @Petrine05647629 @ClimateBonds @ClimateFrontIND @CCTCInc @OPECnews @IEA @IEF_Dialogue @GrowSansthanNGO @ISPA_SunPower
negative,"@Greentekio GreenTek Airdrop
@Mr_curiosity61

@Limemil6
 
@nrohman598

 #GreenEnergy #green"
negative,"Increasing investments in #greenfuel and large scale #greenenergy plans driving the green ammonia market 

https://t.co/SJrSKX4Wza 

#green #ammonia #GreenAmmonia #energy #power #electricity #renewableenergy #renewables #renewable #cleanenergy #GreenHydrogen #hydrogen #Utilities https://t.co/ebm8i8S5BA"
