positive,"AN ELECTRIC CAR CEMETRY IN FRANCE,  NOW DESIGNATED A BIO- HAZARD ZONE😎
THATS CLEAN GREEN ENERGY FOR YOU 😎🙏👇👇👇 https://t.co/OradGbfy8z"
negative,@elonmusk Isn't this the guy that like to talk about green energy??
positive,"The green energy transition requires technology - and political will. In August, Volue will host an event at Arendalsuka, the largest political gathering in Norway. Read the full story. 👇
#energy #energytransition #renewables #renewableenergy #greentech
https://t.co/emT8tPVMt6"
positive,"The green energy pioneer #Becour decided to use our #lowcode platform running all their core business systems on our new Neptune DXP Cloud - and they're killing it! Read more about this customer story and Hans Petter Kildal's words. #NeptuneDXPCloud
https://t.co/CT0L0I2zzL https://t.co/w3z6lq0FrI"
negative,"You've probably already guessed that I am sucker for the @DeutscheWelle documentaries, but this one on #Lithium mining in #Bolivia #Argentina &amp; #Chile is key for nuancing #greenenergy in Europe, must watch :) https://t.co/aQDQQJHFTp"
negative,pv magazine Deutschland: Gorfion Green Energy bietet Photovoltaik-Anlagen zur Miete für Mittelstand https://t.co/tWu1ZW4s6A
negative,"Gorfion Green Energy bietet Photovoltaik-Anlagen zur Miete für Mittelstand: Das Konstanzer Start-up realisiert derzeit eine Photovoltaik-Dachanlage mit 141 Kilowatt für eine Härterei in Baden-Württemberg, die noch im Juli… https://t.co/q4tOu4LCaG #solarenergy #solarpv #solar https://t.co/zBSkQspRWd"
negative,"$HMNU News: 
The recycling plant will commence initial recycling of over 7,000,00 ton of plastic/year and will generate in excess of 17,000,000 of kw/h of green energy with  a gross annual income of euro 3,060,000,00.  We will be providing further details in press release. https://t.co/3DejoU90ve https://t.co/O4oiWnGExY"
negative,"$HMNU NEWS: "" $HMNU (1/2) 
Today, the Company's subsidiary, Sedda Green Energy, completed the permits for completion of a 20 ton capacity recycling plant in Sardinia, Italy.""- @HMNU_1 https://t.co/ZHsrDpt7e1 https://t.co/GSKXqW1fX0"
positive,"@moalsinc Ooh nice, I think it should be made mandatory for all new builds, to have solar roofs. Tesla or other makes but just imagine the #greenenergy. #solar"
negative,@PeterSchiff @CNBC @SecGranholm @JoeSquawk Staying on fossil fuels while it’s supply is decreasing will cripple the economy and make us less compatible against a green energy driven China.
positive,"This is what our #days are like now, we are #preparing hard to do our #best in the #competitions ‼️🏎

Keep fingers #crossed 👌

@p_lodz_pl #solar #car #green #energy #power #automotive #team https://t.co/fHyVkt3T9v"
negative,@pierrotlegeek @CNET Bitcoin is helping the environment by using up all the unclean energy until only green energy is left.
positive,"@ADowling34 @tomselliott Yeah I'm sure subsidies haven't been the factor why energy companies could build all those green energy infrastructure and actually make it competible on the market vs. gas in the first place. Nope, subsidies do nothing. Everyone knows that!"
