positive,"AN ELECTRIC CAR CEMETRY IN FRANCE,  NOW DESIGNATED A BIO- HAZARD ZONE😎
THATS CLEAN GREEN ENERGY FOR YOU 😎🙏👇👇👇 https://t.co/OradGbfy8z"
negative,@elonmusk Isn't this the guy that like to talk about green energy??
positive,"The green energy transition requires technology - and political will. In August, Volue will host an event at Arendalsuka, the largest political gathering in Norway. Read the full story. 👇
#energy #energytransition #renewables #renewableenergy #greentech
https://t.co/emT8tPVMt6"
positive,"The green energy pioneer #Becour decided to use our #lowcode platform running all their core business systems on our new Neptune DXP Cloud - and they're killing it! Read more about this customer story and Hans Petter Kildal's words. #NeptuneDXPCloud
https://t.co/CT0L0I2zzL https://t.co/w3z6lq0FrI"
negative,"You've probably already guessed that I am sucker for the @DeutscheWelle documentaries, but this one on #Lithium mining in #Bolivia #Argentina &amp; #Chile is key for nuancing #greenenergy in Europe, must watch :) https://t.co/aQDQQJHFTp"
neutral,"#StellantisEVDay2021|@BrigittCourteh: ""Per semplificare l'#eMobility dei nostri clienti, offriamo soluzioni di ricarica intelligenti con #GreenEnergy. Stiamo lavorando con il nostro partner #EngieEPS per soluzioni future, lanciando una rete di ricarica che sia rapida e unica"" https://t.co/Ay1LoZq8Sj"
negative,pv magazine Deutschland: Gorfion Green Energy bietet Photovoltaik-Anlagen zur Miete für Mittelstand https://t.co/tWu1ZW4s6A
negative,"Gorfion Green Energy bietet Photovoltaik-Anlagen zur Miete für Mittelstand: Das Konstanzer Start-up realisiert derzeit eine Photovoltaik-Dachanlage mit 141 Kilowatt für eine Härterei in Baden-Württemberg, die noch im Juli… https://t.co/q4tOu4LCaG #solarenergy #solarpv #solar https://t.co/zBSkQspRWd"
negative,"$HMNU News: 
The recycling plant will commence initial recycling of over 7,000,00 ton of plastic/year and will generate in excess of 17,000,000 of kw/h of green energy with  a gross annual income of euro 3,060,000,00.  We will be providing further details in press release. https://t.co/3DejoU90ve https://t.co/O4oiWnGExY"
negative,"$HMNU NEWS: "" $HMNU (1/2) 
Today, the Company's subsidiary, Sedda Green Energy, completed the permits for completion of a 20 ton capacity recycling plant in Sardinia, Italy.""- @HMNU_1 https://t.co/ZHsrDpt7e1 https://t.co/GSKXqW1fX0"
negative,#crowdfunding #civico Il 14 luglio giornata dedicata al finanziamento di progetti per la P.A. al Festival del Crowdfunding presso il Fenice Green Energy Park. Ti aspettiamo con gli esperti di Professione Impresa Centro Studi per un caffè o un ape. Prenota https://t.co/K8Hxy8Mm8t
positive,"@moalsinc Ooh nice, I think it should be made mandatory for all new builds, to have solar roofs. Tesla or other makes but just imagine the #greenenergy. #solar"
negative,@PeterSchiff @CNBC @SecGranholm @JoeSquawk Staying on fossil fuels while it’s supply is decreasing will cripple the economy and make us less compatible against a green energy driven China.
