positive,"This is what our #days are like now, we are #preparing hard to do our #best in the #competitions ‼️🏎

Keep fingers #crossed 👌

@p_lodz_pl #solar #car #green #energy #power #automotive #team https://t.co/fHyVkt3T9v"
neutral,"Mamy tyle nowej energii po obu stronach sceny politycznej, że nie potrzebujemy ani wungla, ani atomu. #greenenergy https://t.co/c4NQEeHXR2"
positive,"Heres three steps that would be far more effective:

- Invest in battery technology for green energy storage
- Build new nuclear plants
- Cut fossil fuel subsidies. Green energy is cheaper and cleaner

What 'we' can do is demand these changes, not recycle a straw and call it done https://t.co/Cbh4RMphjE"
positive,"@ElliotFishman Interesting! Does it include CO2 for production as well? It sounds wild to me that electric car powered by green energy and bike reach same CO2 footprint... source for that?
Same remark comparing electric bike &amp; normal bike.
Of course there is more than CO2 in terms of footprint."
positive,Very promising project and bounty campaign is the perfect way to earn in your free time! Hopefully this project succesful in future and good luck team.   #wpp #greenenergy #wppenergy
negative,"India Sets Easier Path for Companies to Switch to Green Energy

https://t.co/9wAO38B087"
positive,"@HornedKassiel This time its two freaking windmills and a solar farm.. 700 people are against it.. Why do these 700 assholes get to decide against the best interest of a country of 5.5 million people? Its this every single time, Denmark would be 100% green energy by now if not for these fuckers"
positive,"Ethiopias Happy together the #GRDE filling day! our Mother's live will change. More than 60 milloin live get green energy to feed there children. 
#GERD 
#Itsmydam. https://t.co/6hpZwIOM5X"
positive,"Jak zapewnić bezpieczeństwo w mieście? O systemach audio w smart city 🔛 https://t.co/RI1vgWLACT

#InteligentnyBudynek #greenenergy #zielonaenergia #energiaodnawialna #energooszczednosc #Sustainability #zrownowazonyrozwoj #BREEAM #zielonebudynki #smartbuilding #SmartCity https://t.co/9N1dMf8Xd7"
negative,"@pytekniejadek P. Woźny od M. Morawieckiego jest w EC Pątnów u Solorza (Walendziaka też trzeba pamiętać ;)), Rafał Kasprów jest Prezesem Synthos Green Energy - plany budowy małych reaktorów z Orlenem. Źle to wszystko wygląda."
neutral,"Btw, WPP product awareness is spreading rapidly with 30+ authorized resellers globally, serving 50+ countries. WPP expects this rapid growth of its product distribution network to continue. #wpp #greenenergy #wppenergy"
negative,"@prickbr @shilderi @Noonekn79350147 @JasonOverstreet So having a goal to be completely green in 20 years doesen't qualify as aggressively moving towards green energy, even as no such alternatives hold up completely? Then you need to define what ""aggressively moving towards green energy"" means, exactly."
positive,"@prickbr @shilderi @Noonekn79350147 @JasonOverstreet Yes, green energy in it's current form isn't effective enough to run a modern country. What else is new?"
negative,"@sarin5x_x @prickbr @shilderi @Noonekn79350147 @JasonOverstreet No idea tbh, they can't distinguish between ""how I want it to be"" and ""how it is"" if their life depended on it. I literally live in a capitalist society that currently goes so all in on green energy that we get energy shortages."
negative,@TheEconomist explains how supply side shortages + price spikes affect everything including scarce metals + land constraints. Do these issues threaten the #green-#energy boom + the #netzero #emissions goal? https://t.co/JK2tYBlQOU #cleanenergy #Trending #waveenergy #renewables
positive,"Latvia also wants to join the peloton of countries developing #offshorewind in #BalticSea. We ask @Vanags7, head of the @windlatvia, about the perspectives for the new industry.
⬇️⬇️⬇️
#BalticWindNetwork #greenenergy #renewables #Latvia

https://t.co/qRBlo2kaKu"
neutral,"@cz_binance @binance Binance should list WPP Energy, this project deserves to be known by everyone 😍🌍♻️ @wppenergycoin

 #bsc #BEP20 #smartchain #greenenergy #wpp"
neutral,"@JRahikkala Hei Jyrki! Pahoittelut, että myyntitilanne ei ole mennyt kuten toivoit. Ikävä myös kuulla, että sinulla on huonoja kokemuksia meistä. Mikäli haluat kertoa enemmän, voit laittaa meille yksityisviestillä lisätietoa. Otamme mielellämme palauttetta vastaan! -Heidi / NGE"
negative,"@cz_binance @binance pay your attention to the WPP token (#wppenergy  GmbH), the green energy token and Hydrogen technologies! https://t.co/X15Fs1bvml The future belongs to environmental technologies! 
@wppenergycoin"
positive,"@curioscurio i mean i sell computer parts and i see with my own eyes the mining farms people have and in march of 2021 i know factually 74% were on green energy, mostly hydro and wind. with chinese mines being shut down and relocating i expect the % to go up."
positive,"@swetcan_ @curioscurio @heartsalty 74% of crypto and NFTs are done and operated with green energy, only mainland china is using coal and contributing to warming. they are most definitely not one of the biggest contributors to warming. not even a small one."
negative,"74% of all crypro mining and operatios are on green energy, only mainland china is using coal to cryptomine. NFTs also fall under there. saying that all crypto shit is causing global warming is sub-brick level of intelligence https://t.co/BxNQemBKBr"
negative,"@Genius_Billion Science says that you could stop it if you wanted. You know this, with your green energy initiatives. If every company ran itself like Stark Industries, the planet would not be destroyed."
negative,"🍏 The share of ""green"" energy in bitcoin mining has exceeded 56%

Tesla and SpaceX Elon Musk.

#Tronstax #tron #trx #smartcontract #bitcoin #cryptocurrency #defi #binance #workfromhome #financialfreedom https://t.co/UlD36SZ6gG"
negative,Green energy https://t.co/wplqeMo4SZ
negative,Kek - green energy my ass https://t.co/ILBMgWAGbB
positive,Perspective project. A great idea! I hope project this will be successful. Do not miss the news and follow the updates here   #wpp #greenenergy #wppenergy
positive,"@analytic_footy Not too sure about that. In Sweden we see taxes on green energy being raised as they become more popular and tax income is lost from other sources.

I don't necessarily disagree... I just don't think it's going to be that simple."
neutral,"WPP will be using a permission based blockchain model to avoid mining and to ensure we are not adding to the present and growing energy crisis caused by crypto mining.

#wpp #greenenergy #wppenergy"
