,Rank,Country/Region,Electricity consumption (GWÂ·h/yr),Year of data,Source,Population,As of,Average electrical energy per capita (kWh per person per year),Average power per capita (watts per person)
0,—,World,23398000,2018 est.,EIA[3],7800000000,2018,3081.0,350.0
1,1,China,7500000,2020,ENGLISH.GOV.CN[4],1411780000,2020,5312.0,527.0
2,2,United States,3989566,2019 est.,EIA,328200000,2019,12154.0,1387.0
3,3,India,1547000,2018 est.,CSO[5],1384660000,2019,935.0,107.0
4,4,Russia,965156,2019 est.,EIA,146700000,2019,6685.0,763.0
5,5,Japan,902842,2019 est.,EIA,126860000,2019,7150.0,816.0
6,6,Brazil,597234,2019 est.,EIA,210000000,2019,2830.0,323.0
7,7,Canada,549263,2019 est.,EIA,37534000,2019,14612.0,1667.0
8,8,"Korea, South",527035,2019 est.,EIA,51710000,2019,10192.0,1163.0
9,9,Germany,524268,2019 est.,EIA,83200000,2019,6306.0,719.0
10,10,France,449422,2019 est.,EIA,66980000,2019,6702.0,765.0
11,11,Saudi Arabia,322372,2018 est.,EIA,33413000,2019,9407.0,1073.0
12,12,United Kingdom,300520,2019 est.,EIA,66800000,2019,4496.0,513.0
13,13,Italy,297150,2019 est.,EIA,60244000,2019,4928.0,562.0
14,14,Mexico,267910,2019 est.,EIA,127580000,2019,2100.0,240.0
15,15,Taiwan,237557,2019 est.,EIA,23775000,2019,9992.0,1140.0
16,16,Spain,241563,2019 est.,EIA,47076780,2019,5131.0,585.0
17,17,Australia,241020,2019 est.,EIA,25364310,2019,9502.0,1084.0
18,18,Indonesia,263139,2019 est.,EIA,270625570,2019,972.0,111.0
19,19,Iran,254724,2018 est.,EIA,82913910,2019,3072.0,350.0
20,20,Vietnam,216994,2018 est.,EIA,96462110,2019,2250.0,257.0
21,21,South Africa,210304,2019 est.,EIA,58558270,2019,3591.0,410.0
22,22,Turkey,251376,2019 est.,EIA,83429620,2019,3013.0,344.0
23,23,Thailand,185852,2018 est.,EIA,69625580,2019,2669.0,305.0
24,24,Egypt,150579,2018 est.,EIA,100388070,2019,1500.0,171.0
25,25,Ukraine,128806,2019 est.,EIA,44385150,2019,2902.0,331.0
26,26,Poland,152573,2019 est.,EIA,37970870,2019,4018.0,458.0
27,27,Malaysia,147209,2018 est.,EIA,31949780,2019,4608.0,526.0
28,28,Sweden,131798,2019 est.,EIA,10285450,2019,12814.0,1462.0
29,29,Norway,124127,2019 est.,EIA,5347900,2019,23210.0,2648.0
30,30,Argentina,125030,2018 est.,EIA,44938710,2019,2782.0,317.0
31,31,Netherlands,110682,2019 est.,EIA,17332850,2019,6386.0,728.0
32,32,United Arab Emirates,119455,2018 est.,EIA,9770530,2019,12226.0,1395.0
33,33,Philippines,93354,2019 est.,EIA,108116620,2019,863.0,99.0
34,34,Kazakhstan,91668,2018 est.,EIA,18513930,2019,4951.0,565.0
35,35,Pakistan,90000,2020 est.,EIA,216565320,2019,557.0,64.0
36,36,Finland,84207,2019 est.,EIA,5520310,2019,15254.0,1740.0
37,37,Belgium,82051,2019 est.,EIA,11484060,2019,7145.0,815.0
38,38,Venezuela,64660,2018 est.,EIA,28515830,2019,2268.0,259.0
39,39,Austria,66849,2019 est.,EIA,8877070,2019,7530.0,859.0
40,40,Chile,74992,2019 est.,EIA,18952040,2019,3957.0,451.0
41,41,Czech Republic,63920,2019 est.,EIA,10669710,2019,5991.0,683.0
42,42,Colombia,70203,2018 est.,EIA,50339440,2019,1395.0,159.0
43,43,Israel,56391,2018 est.,EIA,9053300,2019,6229.0,711.0
44,44,Switzerland,56353,2019 est.,EIA,8574830,2019,6572.0,750.0
45,45,Bangladesh,70594,2018 est.,EIA,163046160,2019,433.0,49.0
46,46,Kuwait,59278,2018 est.,EIA,4207080,2019,14090.0,1607.0
47,47,Greece,53635,2019 est.,EIA,10716320,2019,5005.0,571.0
48,48,Algeria,62062,2018 est.,EIA,43053050,2019,1442.0,164.0
49,49,Romania,55008,2019 est.,EIA,19356540,2019,2842.0,324.0
50,50,Uzbekistan,49204,2018 est.,EIA,33580650,2019,1465.0,167.0
51,51,Singapore,47583,2019 est.,EIA,5703570,2019,8343.0,952.0
52,53,Portugal,48035,2019 est.,EIA,10269420,2019,4677.0,534.0
53,54,Hong Kong,44730,2018 est.,EIA,7507400,2019,5958.0,680.0
54,55,Iraq,43971,2018 est.,EIA,39309780,2019,1119.0,128.0
55,56,New Zealand,41165,2019 est.,EIA,4917000,2019,8372.0,955.0
56,57,Hungary,41621,2019 est.,EIA,9769950,2019,4260.0,486.0
57,57,Peru,47409,2018 est.,EIA,32510450,2019,1458.0,166.0
58,58,Qatar,43375,2018 est.,EIA,2832070,2019,15316.0,1747.0
59,59,Belarus,32736,2019 est.,EIA,9466860,2019,3458.0,394.0
60,60,Denmark,32703,2019 est.,EIA,5818550,2019,5620.0,641.0
61,61,Bulgaria,33134,2019 est.,EIA,6975760,2019,4750.0,542.0
62,62,Morocco,29678,2018 est.,EIA,36471770,2019,814.0,93.0
63,63,Slovakia,26237,2019 est.,EIA,5454070,2019,4810.0,549.0
64,64,Serbia,30292,2018 est.,EIA,6944980,2019,4362.0,498.0
65,65,Bahrain,27447,2018 est.,EIA,1641170,2019,16724.0,1908.0
66,66,Ireland,27203,2019 est.,EIA,4941440,2019,5505.0,628.0
67,67,Oman,31766,2018 est.,EIA,4974990,2019,6385.0,728.0
68,68,Nigeria,29011,2018 est.,EIA,200963600,2019,144.0,16.0
69,70,Ecuador,24605,2018 est.,EIA,17373660,2019,1416.0,162.0
