Country,Total_GWh_prod,Total_RE_Gwh,RE_%_of_total,Positive,Negative,Neutral,Total,Electricity Consumption,Population,Avg Consumption per capita,Fossil CO2 Emissions,"Fossil CO2 Emissions: 2017vs1990, change(%)","Environmentally related ODA, % total ODA","ODA - renewable energy sector, % total allocable ODA","ODA - environment sector, % total allocable ODA",Risultato Investimento,Fossil_CO2_percapita,Investimenti Green
Australia,227386.0,62917.0,27.7,20,11,53,84,241020,25364310,9502.0,402.253,46.1,16.00,0.38,1.55,Negative,1.5859016074160898e-05,2.7429485833277547
Austria,68351.0,50772.0,74.3,494,157,262,913,66849,8877070,7530.0,72.249,14.8,20.23,2.36,1.60,Positive,8.138834097286605e-06,2.4063920294890933
Belgium,85520.0,14168.0,16.6,1796,601,775,3172,82051,11484060,7145.0,104.221,-10.1,20.41,2.07,17.24,Negative,9.075274772162458e-06,0.6715071746986817
Canada,667438.0,433597.0,65.0,4,1,7,12,549263,37534000,14612.0,617.301,35.4,32.93,7.24,1.29,Positive,1.6446448553311666e-05,20.845208810927193
Chile,79308.0,34319.0,43.3,381,151,263,795,74992,18952040,3957.0,90.325,176.6,None,None,None,Negative,4.765977699498312e-06,0.4080666352636505
Colombia,76904.0,48339.0,62.9,111,57,99,267,70203,50339440,1395.0,74.954,44.4,None,None,None,Positive,1.4889716691325923e-06,0.5747700423092048
Costa Rica,10881.0,10630.0,97.7,297,120,229,646,10065,5047560,1994.0,8.138,179.4,None,None,None,Positive,1.6122641434673386e-06,0.12639495127633685
Czech Republic,83301.0,9384.0,11.3,632,202,323,1157,63920,10669710,5991.0,109.756,-32.6,11.49,3.62,1.08,Negative,1.028669007873691e-05,0.4447644923328931
Denmark,30522.0,18451.0,60.5,431,165,276,872,32703,5818550,5620.0,33.573,-37.5,29.33,0.21,1.55,Positive,5.769994242551839e-06,0.8745044381963141
Estonia,12176.0,1524.0,12.5,75,24,33,132,8858,1326590,6677.0,17.89,-53.5,5.67,0.16,4.78,Negative,1.3485703947715571e-05,0.019388588865369
Finland,68752.0,30407.0,44.2,75,23,34,132,84207,5520310,15254.0,46.846,-18.2,19.84,2.14,1.95,Negative,8.486117627452081e-06,1.4411715599282056
France,556184.0,97242.0,17.5,1818,629,874,3321,449422,66980000,6702.0,338.193,-12.4,30.14,3.03,8.13,Negative,5.049163929531203e-06,4.608886270613298
Germany,514860.0,237610.0,46.2,657,209,363,1229,524268,83200000,6306.0,796.529,-21.8,36.43,16.02,8.93,Negative,9.573665865384616e-06,11.261774405713846
Greece,54438.0,14893.0,27.4,110,47,150,307,53635,10716320,5005.0,72.145,-8.9,0.00,0.00,0.00,Negative,6.732255102497872e-06,0.7058693077913233
Hungary,31859.0,3215.0,10.1,330,120,178,628,41621,9769950,4260.0,50.856,-29.3,31.28,0.98,0.28,Negative,5.205349055010517e-06,0.040901780316378825
Iceland,18550.0,18547.0,100.0,71,21,29,121,18679,361310,51699.0,4.097,74.6,34.74,0.00,0.00,Positive,1.1339293127785006e-05,0.8790544585782363
Ireland,30418.0,7515.0,24.7,1752,588,760,3100,27203,4941440,5505.0,38.914,18.5,14.70,0.00,2.41,Negative,7.87503237922549e-06,0.3561812830223457
Israel,66976.0,1656.0,2.5,90,31,63,184,56391,9053300,6229.0,66.916,89.6,None,None,None,Negative,7.391337965161874e-06,0.021067915460007258
Italy,289768.0,108036.0,37.3,419,138,229,786,297150,60244000,4928.0,361.176,-16.2,14.62,0.72,4.49,Negative,5.995219440940176e-06,5.120479187305674
Japan,1057976.0,158822.0,15.0,34,16,59,109,902842,126860000,7150.0,1320.776,14.9,52.65,2.82,0.29,Negative,1.0411288034053288e-05,7.651865666535478
South Korea,562603.0,15930.0,2.8,51,23,70,144,527035,51710000,10192.0,673.324,149.3,9.22,0.49,2.92,Negative,1.302115644942951e-05,0.7674895169933017
Lithuania,4226.0,2088.0,49.4,90,30,51,171,11306,2786840,4057.0,15.311,-56.6,9.03,4.24,1.63,Negative,5.4940362561180405e-06,0.02656389340609611
Latvia,6425.0,3481.6,54.2,80,26,34,140,6877,1912790,3595.0,8.049,-60.0,4.86,0.00,3.50,Positive,4.20798937677424e-06,0.04429351115070125
Luxembourg,2196.0,455.7,20.8,1558,486,716,2760,5817,619900,9383.0,9.54,-18.8,24.16,0.02,0.15,Negative,1.5389578964349086e-05,0.02159837800043685
Mexico,320353.0,48937.0,15.3,774,242,542,1558,267910,127580000,2100.0,507.183,74.7,None,None,None,Negative,3.975411506505722e-06,0.5818805014684945
Netherlands,115170.0,13943.0,12.1,1785,606,776,3167,110682,17332850,6386.0,174.77,8.3,25.64,2.68,1.91,Negative,1.0083165780584267e-05,0.6608430644285517
New Zealand,43033.0,36118.0,83.9,11,6,2,19,41165,4917000,8372.0,36.795,53.3,37.63,8.86,1.43,Positive,7.483221476510067e-06,1.5746112645649322
Norway,149630.0,145379.0,97.2,197,81,117,395,124127,5347900,23210.0,52.492,2.0,21.90,0.85,18.73,Positive,9.81544157519774e-06,6.890389719827757
Portugal,60280.0,32262.0,53.5,255,77,148,480,48035,10269420,4677.0,56.771,30.0,8.13,0.02,0.44,Positive,5.528160305061045e-06,1.5290912245997226
Slovakia,27064.0,6629.0,24.5,406,140,221,767,26237,5454070,4810.0,37.855,-37.5,2.97,0.53,0.00,Negative,6.940688329999431e-06,0.3141883865808555
Slovenia,16500.0,5057.0,30.6,492,159,263,914,14023,2087950,6716.0,15.209,-8.5,28.43,14.10,2.02,Negative,7.284178260973682e-06,0.23968180282687984
Spain,274779.0,104639.0,38.1,349,111,198,658,241563,47076780,5131.0,282.364,22.8,27.57,0.53,1.65,Negative,5.9979463336277455e-06,4.959474820249532
Sweden,156010.0,89127.0,57.1,158,60,72,290,131798,10285450,12814.0,50.874,-12.5,44.93,2.69,8.79,Positive,4.9462104234622695e-06,4.224267360203939
Switzerland,63175.0,37809.0,59.8,1343,427,686,2456,56353,8574830,6572.0,39.738,-11.6,20.77,0.26,3.34,Positive,4.634260970771432e-06,1.7919970897926638
Turkey,274408.0,90248.0,32.9,1344,427,686,2457,251376,83429620,3013.0,429.563,186.6,None,0.02,1.89,Negative,5.148806862598679e-06,1.1481505038857096
United Kingdom,332893.0,110019.0,33.0,1770,641,818,3229,300520,66800000,4496.0,379.15,-35.6,26.57,3.92,5.43,Negative,5.675898203592814e-06,5.2144655458197535
United States,4322038.0,637076.0,14.7,105,35,65,205,3989566,328200000,12154.0,5107.393,0.4,6.28,0.22,2.90,Negative,1.5561831200487507e-05,30.627477239072807
